,url,status_code,history,timestamp,error_msg
tx-farmersbranchaquatic.civicplus.com,http://tx-farmersbranchaquatic.civicplus.com/,200,[],2020-07-02T23:41:26.544361,
tx-flowermound.civicplus.com,https://www.flower-mound.com/,200,[<Response [302]>],2020-07-02T23:41:27.319836,
tx-flowermound2.civicplus.com,https://www.flower-mound.com/,200,[<Response [302]>],2020-07-02T23:41:28.105210,
tx-forney.civicplus.com,https://www.forneytx.gov/,200,[<Response [302]>],2020-07-02T23:41:28.808707,
tx-forney2.civicplus.com,https://www.forneytx.gov/,200,[<Response [302]>],2020-07-02T23:41:29.545641,
tx-fredericksburg.civicplus.com,http://tx-fredericksburg.civicplus.com/,200,[],2020-07-02T23:41:29.998337,
tx-fredericksburg2.civicplus.com,http://tx-fredericksburg2.civicplus.com/,200,[],2020-07-02T23:41:30.482454,
tx-frisco.civicplus.com,https://www.friscotexas.gov/,200,[<Response [302]>],2020-07-02T23:41:31.767804,
tx-frisco2.civicplus.com,https://www.friscotexas.gov/,200,[<Response [302]>],2020-07-02T23:41:33.145518,
tx-friscocommunityparade.civicplus.com,https://www.friscoparade.com/,200,[<Response [302]>],2020-07-02T23:41:33.879681,
tx-friscofiresafetytown.civicplus.com,http://tx-friscofiresafetytown.civicplus.com/,200,[],2020-07-02T23:41:34.424136,
